Program,Gender,Academic Year,Inquiry Date,Admission Batch,Training Program Funding Source,Admission Date,Start Date,End Date,Admission Status,Lead Source,Coordinator,Grand Total,Lead Stage,Package Amount,Placement Information,Placement Salary Range,Placement Job Title,State,Placement Employer,Placement Remark,Uploaded Documents,Assigned Career center,Enrolled FY,Exited FY,Training Duration Days,Inquiry To Start Days,Completed,Placed
Web development and Cloud computing with Azure,Male,2025,2025-04-05,April,MRC,2025-04-20,2025-05-05,2025-08-25,Dropped Out,USA Worksource MD,JW,7681.61,Admitted,7681.61,Yes,"$125,000-$149,999",Software Developer,MA,Blue River Solutions,,Course Completion certificate,Medford Career Center,2024,2025,112,30,0,1
Python with AI,Male,2023,2023-01-28,February,MassAbility,2023-02-06,2023-02-20,2023-05-15,Training Completed,Phone call,TP,6172.48,Admitted,6172.48,Yes,"$75,000-$99,999",QA Tester,MA,Blue River Solutions,,Course Completion certificate,Medford Career Center,2022,2022,84,23,1,1
Web Development With AI,Female,2026,2025-12-23,January,WIOA - MA,2026-01-04,2026-01-19,2026-04-13,Training Completed,Masshire Website,AM,5148.88,Admitted,5148.88,Yes,"$125,000-$149,999",Data Analyst,MA,Evergreen Analytics,,Course Completion certificate,Worcester Career Center,2025,2025,84,27,1,1
Data Scientist,Male,2026,2026-08-03,August,WIOA - FL,2026-08-25,2026-09-21,2027-03-08,Training Completed,Phone call,RJ,6049.18,Admitted,6049.18,Yes,"$75,000-$99,999",QA Tester,FL,Harbor Systems,,Course Completion certificate,Miami Career Center,2026,2026,168,49,1,1
Big data with R Programming,Male,2019,2019-11-05,November,WIOA - VT,2019-11-20,2019-12-16,2020-03-23,Training Completed,Career Center Reference - Email,AD,8864.78,Done with training,8864.78,,,,VT,,,Course Completion certificate,Burlington Career Center,2019,2019,98,41,1,0
Data Visualization (with Laptop),Female,2026,2026-05-29,June,WIOA - OH,2026-06-18,2026-07-06,2026-12-21,Training Completed,Phone call,ML,5790.39,Admitted,5790.39,Yes,"$100,000-$124,999",Web Developer,OH,Blue River Solutions,,Course Completion certificate,Cleveland Career Center,2026,2026,168,38,1,1
AWS Solution and DevOps,Male,2023,2023-07-05,July,WIOA - NH,2023-07-25,2023-08-07,2023-11-13,Training Completed,Email,CB,6336.24,Admitted,6336.24,Yes,"$50,000-$74,999",Web Developer,NH,Pioneer Digital,,Course Completion certificate,Nashua Career Center,2023,2023,98,33,1,1
Data Science with AWS DevOps,Female,2018,2018-11-30,December,WIOA - MA,2018-12-09,2018-12-17,2019-03-11,Training Completed,Career Center Reference - Email,TP,9024.26,Admitted,9024.26,Yes,"$75,000-$99,999",Cloud Support Specialist,MA,Pioneer Digital,,Course Completion certificate,Boston Career Center,2018,2018,84,17,1,1
Salesforce Admin with Digital Marketing,Male,2016,2016-07-15,July,WIOA - MA,2016-07-30,2016-08-15,2016-11-21,Training Completed,Phone call,AM,4847.6,Admitted,4847.6,Yes,"$50,000-$74,999",Data Analyst,MA,Pioneer Digital,,"cert 2,Course Completion certificate",Medford Career Center,2016,2016,98,31,1,1
Digital Marketing (with Laptop),Male,2023,2023-06-03,June,MassAbility,2023-06-16,2023-07-03,2023-11-20,Training Completed,Training,JW,5256.18,Admitted,5256.18,,,,MA,,,Course Completion certificate,Worcester Career Center,2023,2023,140,30,1,0
AWS DevOps Admin with Certification,Female,2018,2018-10-03,October,WIOA - NH,2018-10-18,2018-11-05,2019-02-25,Training Completed,Masshire Website,CB,9142.84,Admitted,9142.84,,,,NH,,,Course Completion certificate,Manchester Career Center,2018,2018,112,33,1,0
AWS DevOps Admin with Certification,Male,2018,2018-11-05,November,WIOA - OH,2018-11-21,2018-12-17,2019-02-25,Training Completed,Email,AM,5593.41,In Training,5593.41,Yes,"$100,000-$124,999",SQL Developer,OH,Vertex Consulting,,Course Completion certificate,Columbus Career Center,2018,2018,70,42,1,1
Salesforce Admin with Tableau,Female,2022,2022-02-02,February,WIOA - MA,2022-02-14,2022-02-21,2022-05-30,Training Completed,Don't know,AD,5432.88,Admitted,5432.88,No,,,MA,,,Course Completion certificate,Medford Career Center,2021,2021,98,19,1,0
Data Visualization (with Laptop),Male,2016,2016-10-26,November,WIOA - NH,2016-11-04,2016-11-21,2017-05-08,Training Completed,Phone call,ML,5790.39,Admitted,5790.39,Yes,"$100,000-$124,999",Cloud Support Specialist,NH,Evergreen Analytics,,Course Completion certificate,Nashua Career Center,2016,2016,168,26,1,1
Data Science with Tableau,Female,2020,2020-09-18,September,WIOA - MA,2020-09-28,2020-10-19,2021-02-08,Training Completed,Phone call,JW,6340.49,Done with training,6340.49,,,,MA,,,Course Completion certificate,Worcester Career Center,2020,2020,112,31,1,0
OLD Student,Female,2024,2024-08-03,August,Section 30,2024-08-13,2024-08-19,2025-01-06,Training Completed,Career Center Reference - Phone,AD,6330.29,Admitted,6330.29,,,,MA,,,Course Completion certificate,Worcester Career Center,2024,2024,140,16,1,0
AWS Solution Architect and Devops,Female,2016,2016-10-12,November,WIOA - NY,2016-11-01,2016-11-21,2017-02-13,Training Completed,Phone call,JW,5877.83,Admitted,5877.83,Yes,"$75,000-$99,999",Business Analyst,NY,Harbor Systems,,Course Completion certificate,Albany Career Center,2016,2016,84,40,1,1
Data Scientist,Male,2022,2022-10-25,November,VRRAP,2022-11-15,2022-12-05,2023-05-22,Training Completed,VRRAP,ML,6049.18,Admitted,6049.18,Yes,"$50,000-$74,999",Business Analyst,MA,Blue River Solutions,,Course Completion certificate,Veteran Affairs,2022,2022,168,41,1,1
CompTIA-Cybersecurity Specialist,Female,2018,2018-02-08,March,WIOA - MA,2018-03-01,2018-03-05,2018-05-28,Training Completed,Don't know,AD,6644.76,Done with training,6644.76,Yes,"$25,000-$49,999",Software Developer,MA,Summit Cloud Services,,Course Completion certificate,Medford Career Center,2017,2017,84,25,1,1
Data Analytics with Automation QA,Male,2025,2025-03-25,April,WIOA - FL,2025-04-14,2025-05-05,2025-07-28,Training Completed,Email,TP,5511.27,Admitted,5511.27,Yes,"$50,000-$74,999",Data Analyst,FL,Blue River Solutions,,Course Completion certificate,Orlando Career Center,2024,2025,84,41,1,1
Software QA Automation with Cloud Computing,Female,2020,2020-06-15,July,WIOA - NH,2020-07-02,2020-07-20,2021-01-04,Training Completed,Masshire Website,RJ,7200.82,Admitted,7200.82,Yes,"$75,000-$99,999",Business Analyst,NH,Harbor Systems,,Course Completion certificate,Manchester Career Center,2020,2020,168,35,1,1
Java Programmer Analyst ,Female,2024,2024-09-19,September,MRC,2024-09-29,2024-10-07,2025-04-21,Training Completed,Phone call,AD,6631.15,Admitted,6631.15,Yes,"$125,000-$149,999",Technical Support Specialist,MA,Northstar Technology,,Course Completion certificate,Medford Career Center,2024,2024,196,18,1,1
Data Science with Tableau,Female,2023,2023-10-29,November,WIOA - VA,2023-11-10,2023-11-20,2024-02-12,Dropped Out,Don't know,CB,6404.23,Admitted,6404.23,Yes,"$100,000-$124,999",SQL Developer,VA,Pioneer Digital,,Course Completion certificate,Norfolk Career Center,2023,2023,84,22,0,1
Advanced Data Analytics,Female,2025,2025-05-19,May,WIOA - MA,2025-05-29,2025-06-02,2025-09-22,Training Completed,Email,ML,5811.89,Admitted,5811.89,Yes,"$75,000-$99,999",SQL Developer,MA,Evergreen Analytics,,Course Completion certificate,Worcester Career Center,2024,2025,112,14,1,1
Digital Marketing with AI,Male,2021,2021-09-24,October,WIOA - MD,2021-10-09,2021-10-18,2021-12-13,Training Completed,Phone call,JW,5775.75,Done with training,5775.75,Yes,"$75,000-$99,999",Business Analyst,MD,Vertex Consulting,,Completion Certificate,Rockville Career Center,2021,2021,56,24,1,1
Data Science with Tableau,Female,2021,2021-06-03,June,WIOA - FL,2021-06-18,2021-07-05,2021-10-25,Training Completed,Phone call,RJ,6340.49,Admitted,6340.49,,,,FL,,,Course Completion certificate,Orlando Career Center,2021,2021,112,32,1,0
AWS DevOps with Digital Marketing,Male,2017,2016-11-19,December,WIOA - MA,2016-12-14,2017-01-02,2017-04-24,Training Completed,USA Worksource MD,JW,4982.58,Admitted,4982.58,Yes,"$50,000-$74,999",SQL Developer,MA,Summit Cloud Services,,Course Completion certificate,Worcester Career Center,2016,2016,112,44,1,1
Big Data and Python Developer,Male,2021,2021-11-26,December,WIOA - NH,2021-12-16,2021-12-20,2022-05-09,Training Completed,Masshire Website,TP,6247.46,Admitted,6247.46,No,,,NH,,,Course Completion certificate,Nashua Career Center,2021,2021,140,24,1,0
Web Development Foundations,Male,2021,2021-10-13,October,WIOA - MA,2021-10-31,2021-11-15,2022-03-07,Training Completed,Email,AD,6218.35,Admitted,6218.35,Yes,"$75,000-$99,999",Software Developer,MA,Blue River Solutions,,Course Completion certificate,Medford Career Center,2021,2021,112,33,1,1
OLD Student,Male,2022,2022-08-21,September,WIOA - OH,2022-09-06,2022-09-19,2023-02-06,Training Completed,PA careerlink,JW,6330.29,Admitted,6330.29,Yes,"$125,000-$149,999",Software Developer,OH,Vertex Consulting,,Course Completion certificate,Columbus Career Center,2022,2022,140,29,1,1
MS Office with Digital Marketing/Beginners Entrepreneur Kit ,Male,2017,2017-10-30,November,WIOA - MA,2017-11-06,2017-12-04,2018-03-26,Training Completed,Phone call,ML,5540.28,Admitted,5540.28,,,,MA,,,Course Completion certificate,Boston Career Center,2017,2017,112,35,1,0
Data Analytics with Java Development,Male,2022,2021-12-19,December,WIOA - VA,2021-12-30,2022-01-03,2022-03-28,Training Completed,Don't know,TP,5608.53,Admitted,5608.53,No,,,VA,,,Course Completion certificate,Richmond Career Center,2021,2021,84,15,1,0
Data Analytics,Male,2021,2021-02-04,February,WIOA - MA,2021-02-24,2021-03-15,2021-08-30,Training Completed,Don't know,TP,5466.25,Admitted,5466.25,No,,,MA,,,Course Completion certificate,Medford Career Center,2020,2021,168,39,1,0
Big Data and Hadoop with Python,Male,2022,2022-07-13,July,WIOA - FL,2022-07-23,2022-08-15,2022-12-05,Training Completed,Email,AD,6033.95,Admitted,6033.95,Yes,"$125,000-$149,999",Web Developer,FL,Harbor Systems,,Course Completion certificate,Orlando Career Center,2022,2022,112,33,1,1
CompTIA Skills Builder,Male,2023,2023-03-09,April,WIOA - ME,2023-04-05,2023-04-17,2023-11-27,Training Completed,Training,AM,6048.52,Done with training,6048.52,Yes,"$50,000-$74,999",QA Tester,ME,Northstar Technology,,Course Completion certificate,Augusta Career Center,2022,2023,224,39,1,1
Data Analytics with Data Science,Female,2020,2020-02-28,March,Section 30,2020-03-08,2020-03-16,2020-05-11,Training Completed,Phone call,RJ,10487.64,Admitted,10487.64,Yes,"$25,000-$49,999",Web Developer,MA,Northstar Technology,,Course Completion certificate,Worcester Career Center,2019,2019,56,17,1,1
Business Office and Marketing Administrator,Male,2021,2021-08-08,August,WIOA - NH,2021-08-28,2021-09-20,2021-12-13,Training Completed,Phone call,AM,5961.24,Done with training,5961.24,Yes,"$50,000-$74,999",Web Developer,NH,Northstar Technology,,Course Completion certificate,Nashua Career Center,2021,2021,84,43,1,1
OLD Student,Female,2020,2020-07-02,July,WIOA - NY,2020-07-22,2020-08-17,2021-01-04,Training Completed,Phone call,RJ,6330.29,Done with training,6330.29,Yes,"$50,000-$74,999",Data Analyst,NY,Blue River Solutions,,Course Completion certificate,New York Career Center,2020,2020,140,46,1,1
Salesforce Admin with Agile,Male,2024,2024-03-30,April,WIOA - NY,2024-04-18,2024-05-06,2024-08-12,Training Completed,Masshire Website,RJ,5544.57,Admitted,5544.57,,,,NY,,,Course Completion certificate,New York Career Center,2023,2024,98,37,1,0
AI with Azure,Male,2024,2024-07-23,August,Section 30,2024-08-02,2024-08-19,2025-02-03,Training Completed,Masshire Website,ML,6077.79,Dropped Out,6077.79,No,,,MA,,,Course Completion certificate,Worcester Career Center,2024,2024,168,27,1,0
Automation Quality Assurance,Male,2019,2019-06-20,July,WIOA - NY,2019-07-09,2019-08-05,2019-10-14,Training Completed,USA Worksource MD,ML,8614.77,Admitted,8614.77,No,,,NY,,,Course Completion certificate,New York Career Center,2019,2019,70,46,1,0
Python full stack web developer with AWS technology,Male,2019,2019-02-17,March,WIOA - FL,2019-03-17,2019-04-01,2019-07-08,Training Completed,Phone call,AM,8258.05,Done with training,8258.05,Yes,"$125,000-$149,999",Software Developer,FL,Harbor Systems,,Course Completion certificate,Orlando Career Center,2018,2019,98,43,1,1
CompTIA Core,Male,2023,2023-05-14,May,WIOA - CT,2023-05-30,2023-06-05,2023-09-11,Training Completed,Masshire Website,TP,6806.58,Dropped Out,6806.58,Yes,"$25,000-$49,999",Software Developer,MA,Blue River Solutions,,Course Completion certificate,Hartford Career Center,2022,2023,98,22,1,1
Cloud Computing Technologies with Big Data,Male,2024,2024-05-01,May,WIOA - FL,2024-05-29,2024-06-03,2024-08-12,Training Completed,Masshire Website,RJ,6967.31,Done with training,6967.31,Yes,"$125,000-$149,999",Software Developer,FL,Harbor Systems,,Course Completion certificate,Miami Career Center,2023,2024,70,33,1,1
OLD Student,Female,2016,2016-08-13,September,WIOA - NY,2016-09-01,2016-09-19,2017-02-06,Training Completed,SEO,ML,6330.29,Admitted,6330.29,Yes,"$50,000-$74,999",SQL Developer,NY,Pioneer Digital,,Course Completion certificate,New York Career Center,2016,2016,140,37,1,1
AWS Solution Architect with Certification,Female,2020,2020-10-29,November,WIOA - MA,2020-11-21,2020-12-07,2021-02-01,Training Completed,Masshire Website,JW,5250.15,Admitted,5250.15,Yes,"$100,000-$124,999",Cloud Support Specialist,MA,Northstar Technology,,Course Completion certificate,Worcester Career Center,2020,2020,56,39,1,1
Linux with Cloud Technologies,Female,2019,2019-08-14,August,Section 30,2019-08-28,2019-09-02,2020-04-13,Training Completed,Career Center Reference - Email,RJ,5463.46,Admitted,5463.46,Yes,"$50,000-$74,999",QA Tester,MA,Evergreen Analytics,,Course Completion certificate,Medford Career Center,2019,2019,224,19,1,1
Business Office and Marketing Administrator,Female,2024,2024-04-03,April,WIOA - VA,2024-04-29,2024-05-20,2024-08-12,Training Completed,PA careerlink,TP,5961.24,Done with training,5961.24,Yes,"$100,000-$124,999",Data Analyst,VA,Harbor Systems,,Course Completion certificate,Richmond Career Center,2023,2024,84,47,1,1
OLD 2020_Automation Testing with AWS DevOps,Male,2018,2017-12-16,January,WIOA - NY,2018-01-05,2018-01-15,2018-06-04,Training Completed,Email,ML,5445.78,Admitted,5445.78,No,,,NY,,,Course Completion certificate,New York Career Center,2017,2017,140,30,1,0
Web Development with Python Technologies,Male,2024,2024-05-17,May,WIOA - MD,2024-05-27,2024-06-03,2024-07-29,Training Completed,Phone call,ML,5677.87,Admitted,5677.87,Yes,"$25,000-$49,999",QA Tester,MD,Pioneer Digital,,Course Completion certificate,Rockville Career Center,2023,2024,56,17,1,1
Cloud Technologies,Male,2023,2023-03-12,April,VRRAP,2023-04-09,2023-04-17,2023-09-04,Training Completed,VRRAP,JW,5763.1,Admitted,5763.1,,,,NH,,,Course Completion certificate,Veteran Affairs,2022,2023,140,36,1,0
CompTIA-IT Support Specialist,Female,2025,2025-01-10,January,Section 30,2025-01-21,2025-02-03,2025-05-26,Training Completed,Phone call,AM,5385.96,Admitted,5385.96,Yes,"$50,000-$74,999",SQL Developer,MA,Evergreen Analytics,,Course Completion certificate,Medford Career Center,2024,2024,112,24,1,1
AWS Solution and DevOps,Male,2026,2026-07-08,July,WIOA - MA,2026-07-22,2026-08-17,2026-11-23,Training Completed,Phone call,AD,6336.24,Admitted,6336.24,Yes,"$25,000-$49,999",Data Analyst,MA,Harbor Systems,,"Course Certificate,Course Completion certificate",Medford Career Center,2026,2026,98,40,1,1
Data Science with Tableau,Female,2021,2021-04-28,May,WIOA - NH,2021-05-11,2021-06-07,2021-09-27,Training Completed,NJ Portal,RJ,6340.49,Done with training,6340.49,Yes,"$100,000-$124,999",Software Developer,NH,Pioneer Digital,,Course Completion certificate,Nashua Career Center,2020,2021,112,40,1,1
Full Stack Web Development with C# . Net ASP.net,Male,2023,2023-07-30,August,VRRAP,2023-08-08,2023-09-04,2023-11-27,Training Completed,VRRAP,AM,6315.31,Admitted,6315.31,,,,MA,,,Course Completion certificate,Veteran Affairs,2023,2023,84,36,1,0
Tableau with AWS Technologies,Male,2023,2023-09-07,September,WIOA - MA,2023-09-15,2023-10-02,2023-12-25,Training Completed,Don't know,JW,5085.75,Admitted,5085.75,,,,MA,,,cert 2,Medford Career Center,2023,2023,84,25,1,0
Data Science with Big Data and Python,Female,2025,2025-01-17,January,WIOA - MA,2025-01-31,2025-02-03,2025-05-26,Dropped Out,Career Center Reference - Email,CB,7783.2,Admitted,7783.2,Yes,"$100,000-$124,999",Technical Support Specialist,MA,Pioneer Digital,,"cert 2,cert 3,Course Certificate,Course Completion certificate",Boston Career Center,2024,2024,112,17,0,1
CompTIA-Network Specialist,Female,2021,2021-09-29,October,Vocational Rehab,2021-10-11,2021-10-18,2022-02-07,Training Completed,Email,AD,5184.99,Admitted,5184.99,Yes,"$25,000-$49,999",Web Developer,NH,Summit Cloud Services,,Course Completion certificate,Manchester Career Center,2021,2021,112,19,1,1
AWS DevOps with Automation Testing,Female,2017,2017-08-05,August,WIOA - MA,2017-08-12,2017-09-04,2017-11-27,Training Completed,Maryland Joblink,JW,5654.69,Admitted,5654.69,No,,,MA,,,Course Completion certificate,Boston Career Center,2017,2017,84,30,1,0
OLD Student,Female,2026,2026-05-29,June,WIOA - CT,2026-06-07,2026-06-15,2026-11-02,Training Completed,Email,CB,6330.29,Admitted,6330.29,Yes,"$75,000-$99,999",Web Developer,CT,Vertex Consulting,,Course Completion certificate,Hartford Career Center,2025,2026,140,17,1,1
Digital Marketing with Tableau,Female,2017,2017-01-29,February,WIOA - MD,2017-02-16,2017-02-20,2017-06-12,Dropped Out,Don't know,ML,5800.2,Admitted,5800.2,Yes,"$100,000-$124,999",Software Developer,MD,Pioneer Digital,,cert 2,Rockville Career Center,2016,2016,112,22,0,1
OLD Student,Female,2026,2026-03-28,April,WIOA - MA,2026-04-05,2026-04-20,2026-09-07,Training Completed,Masshire Website,AD,6330.29,Admitted,6330.29,Yes,"$125,000-$149,999",Cloud Support Specialist,MA,Blue River Solutions,,Course Completion certificate,Medford Career Center,2025,2026,140,23,1,1
Data Scientist,Female,2019,2019-02-02,February,WIOA - FL,2019-02-21,2019-03-04,2019-08-19,Training Completed,Don't know,CB,6049.18,Admitted,6049.18,No,,,FL,,,Course Completion certificate,Miami Career Center,2018,2019,168,30,1,0
OLD student,Female,2021,2021-06-26,July,VSAC,2021-07-06,2021-07-19,2022-01-03,Dropped Out,Don't know,TP,5815.44,Admitted,5815.44,Yes,"$75,000-$99,999",SQL Developer,VT,Evergreen Analytics,,Course Completion certificate,Burlington Career Center,2021,2021,168,23,0,1
Data Scientist,Female,2026,2026-02-12,February,WIOA - NJ,2026-02-26,2026-03-02,2026-08-17,Training Completed,Career Center Reference - Phone,JW,6049.18,Done with training,6049.18,No,,,NJ,,,Course Completion certificate,Newark Career Center,2025,2026,168,18,1,0
AWS Technology with Reporting Tool,Male,2023,2023-05-07,May,VRRAP,2023-05-24,2023-06-19,2023-08-14,Training Completed,VRRAP,CB,8847.6,Admitted,8847.6,Yes,"$125,000-$149,999",Web Developer,NY,Northstar Technology,,Course Completion certificate,Veteran Affairs,2022,2023,56,43,1,1
Web development with Java,Female,2022,2022-06-05,July,WIOA - MA,2022-07-01,2022-07-04,2022-10-24,Training Completed,Masshire Website,CB,6311.92,Admitted,6311.92,Yes,"$100,000-$124,999",SQL Developer,MA,Evergreen Analytics,,Course Completion certificate,Medford Career Center,2022,2022,112,29,1,1
VA,Male,2019,2019-10-20,November,WIOA - MA,2019-11-13,2019-11-18,2020-02-10,Training Completed,PA careerlink,AD,6413.34,Done with training,6413.34,Yes,"$125,000-$149,999",Web Developer,MA,Pioneer Digital,,Course Completion certificate,Boston Career Center,2019,2019,84,29,1,1
Data Analytics with Automation QA,Female,2019,2019-06-18,July,WIOA - CT,2019-07-01,2019-07-15,2019-10-07,Training Completed,Phone call,CB,5511.27,Done with training,5511.27,Yes,"$125,000-$149,999",QA Tester,CT,Pioneer Digital,,Course Completion certificate,Hartford Career Center,2019,2019,84,27,1,1
Data Analytics with Automation QA,Female,2016,2016-11-02,November,WIOA - NJ,2016-11-16,2016-11-21,2017-02-13,Training Completed,PA careerlink,RJ,5511.27,Done with training,5511.27,Yes,"$100,000-$124,999",QA Tester,NJ,Blue River Solutions,,Course Completion certificate,Newark Career Center,2016,2016,84,19,1,1
AI with Azure,Female,2022,2022-06-08,June,WIOA - VT,2022-06-29,2022-07-04,2022-12-19,Training Completed,Masshire Website,TP,6077.79,Admitted,6077.79,Yes,"$100,000-$124,999",Data Analyst,VT,Pioneer Digital,,Course Completion certificate,Rutland Career Center,2022,2022,168,26,1,1
Salesforce Admin and Developer,Male,2020,2020-11-08,November,WIOA - NY,2020-11-22,2020-12-07,2021-03-01,Training Completed,Email,CB,5622.38,Admitted,5622.38,Yes,"$75,000-$99,999",Data Analyst,NY,Pioneer Digital,,Course Completion certificate,New York Career Center,2020,2020,84,29,1,1
Salesforce Admin with Digital Marketing,Female,2018,2018-10-10,November,WIOA - NY,2018-11-05,2018-12-03,2019-03-11,Training Completed,Career Center Reference - Phone,AM,4847.6,In Training,4847.6,Yes,"$125,000-$149,999",Technical Support Specialist,NY,Vertex Consulting,,Course Completion certificate,Albany Career Center,2018,2018,98,54,1,1
CompTIA-Cybersecurity Specialist,Male,2020,2020-05-22,June,WIOA - FL,2020-06-04,2020-06-15,2020-09-07,Dropped Out,Don't know,CB,6644.76,Admitted,6644.76,Yes,"$100,000-$124,999",Data Analyst,FL,Blue River Solutions,,Course Completion certificate,Miami Career Center,2019,2020,84,24,0,1
Salesforce Admin with Digital Marketing_Package-5980,Female,2026,2026-01-07,January,WIOA - NH,2026-01-28,2026-02-02,2026-05-11,Training Completed,Masshire Website,JW,6050.42,Admitted,6050.42,,,,NH,,,Course Completion certificate,Nashua Career Center,2025,2025,98,26,1,0
AWS DevOps Admin with Certification,Male,2025,2025-01-31,February,WIOA - MA,2025-02-15,2025-03-03,2025-06-23,Dropped Out,USA Worksource MD,TP,9142.84,Admitted,9142.84,Yes,"$75,000-$99,999",Data Analyst,MA,Pioneer Digital,,Course Completion certificate,Boston Career Center,2024,2024,112,31,0,1
CompTIA IT Support Specialist II,Female,2020,2020-11-09,December,WIOA - MA,2020-12-02,2020-12-21,2021-04-12,Training Completed,Masshire Website,AD,5159.91,Admitted,5159.91,Yes,"$25,000-$49,999",Business Analyst,MA,Pioneer Digital,,Course Completion certificate,Medford Career Center,2020,2020,112,42,1,1
AWS Solution and DevOps,Female,2026,2026-05-31,June,WIOA - NY,2026-06-24,2026-07-20,2026-10-26,Dropped Out,Masshire Website,ML,6336.24,Admitted,6336.24,Yes,"$125,000-$149,999",Business Analyst,NY,Blue River Solutions,,Course Completion certificate,Albany Career Center,2026,2026,98,50,0,1
Cybersecurity,Male,2021,2021-03-06,March,WIOA - MA,2021-03-26,2021-04-05,2021-06-28,Dropped Out,NSCITE,JW,5304.53,Admitted,5304.53,Yes,"$25,000-$49,999",SQL Developer,MA,Blue River Solutions,,Course Completion certificate,Worcester Career Center,2020,2020,84,30,0,1
ADOBE Photoshop and Illustrator with Digital Marketing,Female,2020,2020-01-14,January,WIOA - OH,2020-01-31,2020-02-03,2020-05-25,Training Completed,Career Center Reference - Email,CB,6249.79,Admitted,6249.79,Yes,"$125,000-$149,999",Data Analyst,OH,Evergreen Analytics,,Course Completion certificate,Columbus Career Center,2019,2019,112,20,1,1
Data Analytics,Female,2020,2020-06-05,June,WIOA - CT,2020-06-14,2020-07-06,2020-12-21,Training Completed,NSCITE,CB,5466.25,Admitted,5466.25,Yes,"$25,000-$49,999",Technical Support Specialist,MA,Evergreen Analytics,,cert 2,New Haven Career Center,2020,2020,168,31,1,1
Data Science with Tableau,Male,2025,2025-05-07,May,Section 30,2025-05-17,2025-06-02,2025-09-22,Training Completed,Career Counselor reference,RJ,6340.49,Admitted,6340.49,No,,,MA,,,Course Completion certificate,Worcester Career Center,2024,2025,112,26,1,0
Salesforce Developer with Cloud Computing,Female,2019,2019-03-19,March,WIOA - PA,2019-03-31,2019-04-15,2019-08-05,Training Completed,Phone call,TP,6906.85,Done with training,6906.85,No,,,PA,,,Course Completion certificate,Pittsburgh Career Center,2018,2019,112,27,1,0
Cybersecurity Essentials,Female,2018,2018-10-02,October,WIOA - FL,2018-10-19,2018-11-05,2019-04-22,Training Completed,PA careerlink,ML,6770.6,Done with training,6770.6,Yes,"$100,000-$124,999",Business Analyst,FL,Northstar Technology,,Course Completion certificate,Orlando Career Center,2018,2018,168,34,1,1
"Web, Mobile and Digital Marketing",Female,2026,2026-03-21,April,WIOA - NY,2026-04-04,2026-04-20,2026-07-13,Dropped Out,Masshire Website,RJ,5648.08,Admitted,5648.08,,,,NY,,,Course Completion certificate,New York Career Center,2025,2026,84,30,0,0
Cloud Technologies,Female,2024,2023-12-06,December,WIOA - MA,2023-12-29,2024-01-15,2024-06-03,Training Completed,Website,RJ,5763.1,Admitted,5763.1,,,,MA,,,Course Completion certificate,Boston Career Center,2023,2023,140,40,1,0
Java with Big Data and Mobile Development,Male,2024,2024-03-24,April,VRRAP,2024-04-13,2024-05-06,2024-08-12,Training Completed,VRRAP,ML,6097.76,Dropped Out,6097.76,Yes,"$125,000-$149,999",Technical Support Specialist,NH,Vertex Consulting,,Course Completion certificate,Veteran Affairs,2023,2024,98,43,1,1
AI with Azure,Male,2024,2023-12-28,January,WIOA - ME,2024-01-20,2024-02-05,2024-07-22,Training Completed,Website,AM,6077.79,Admitted,6077.79,Yes,"$50,000-$74,999",Business Analyst,ME,Evergreen Analytics,,Course Completion certificate,Portland Career Center,2023,2024,168,39,1,1
Salesforce Admin and Tableau with Certification,Male,2023,2023-05-30,June,WIOA - VA,2023-06-18,2023-07-03,2023-10-09,Training Completed,Career Center Reference - Phone,RJ,6634.04,Admitted,6634.04,Yes,"$25,000-$49,999",Data Analyst,VA,Harbor Systems,,Course Completion certificate,Norfolk Career Center,2023,2023,98,34,1,1
Data Science with Programming Tools,Female,2017,2017-06-05,June,VRRAP,2017-06-23,2017-07-03,2017-09-11,Training Completed,VRRAP,AD,4823.81,Admitted,4823.81,Yes,"$100,000-$124,999",Business Analyst,NY,Harbor Systems,,Course Completion certificate,Veteran Affairs,2017,2017,70,28,1,1
Salesforce Admin with Digital Marketing,Male,2024,2024-02-16,March,MRC,2024-03-01,2024-03-18,2024-06-24,Training Completed,Maryland Joblink,ML,4847.6,Admitted,4847.6,Yes,"$125,000-$149,999",SQL Developer,MA,Blue River Solutions,,Course Completion certificate,Medford Career Center,2023,2023,98,31,1,1
OLD 2020_Automation Testing with AWS DevOps,Male,2019,2019-01-09,January,MassAbility,2019-01-29,2019-02-18,2019-07-08,Training Completed,Phone call,ML,5445.78,Admitted,5445.78,Yes,"$50,000-$74,999",Web Developer,MA,Evergreen Analytics,,Course Completion certificate,Medford Career Center,2018,2019,140,40,1,1
AWS Solution and DevOps,Female,2017,2017-11-04,November,WIOA - VT,2017-11-26,2017-12-18,2018-03-26,Dropped Out,Phone call,CB,6336.24,Admitted,6336.24,Yes,"$100,000-$124,999",QA Tester,VT,Harbor Systems,,Course Completion certificate,Rutland Career Center,2017,2017,98,44,0,1
Salesforce Essentials,Male,2026,2026-06-12,June,WIOA - VA,2026-06-29,2026-07-06,2026-12-21,Training Completed,NSCITE,AM,5205.3,Admitted,5205.3,Yes,"$125,000-$149,999",Business Analyst,VA,Northstar Technology,,Course Completion certificate,Norfolk Career Center,2026,2026,168,24,1,1
